id	Basal.vs.Luminal=+_SIGNATURE
14-3-3 family/TSC2 (complex)	-1.7405544879940893
14-3-3 family/chibby/beta catenin (complex)	1.7550787770595802
14-3-3-sigma/CDC2/CYCLIN B (complex)	2.5395810406930157
14-3-3/Forkhead Transcription Factors (complex)	-0.19357753226567576
14-3-3/HDAC5 (complex)	0.9942099296095852
143B:phospo-BAD complex (complex)	0.142331983223154
3' end cleaved, ligated exon containing complex (complex)	-1.694946517524299
3'-polyadenylated, capped mRNA complex (complex)	-1.685487329736499
4-1BBL/4-1BB/TRAF2 (complex)	2.5299875682440227
40S S6 ribosomal protein /40s Ribosomal subunit/eIF3 (complex)	1.5947108479822991
40s Ribosome subunit/RNA strand (complex)	-0.4444592909211205
53BP1:H2AX complex at site of double-strand break (complex)	1.1957671639706169
A2M	-0.9593954429288508
AATF	0.9042543931257532
ABCA1:apoA-I complex (complex)	-1.6802146864726997
ABCB1	-2.3837010263351712
ABCB11	-1.1883375262875182
ABCC1	-1.1622038433151156
ABCC3	-1.8256607828541118
ABCG2	0.01070365558178934
ABI1	0.07649091063772596
ABI1/N-WASP (complex)	0.12112323473186445
ABI1/Sra1/Nap1 (complex)	-0.29362452173662795
ABL1	2.6921412911485185
ABR	1.5231506503066672
ACACA	0.215561107322822
ACADM	-0.6671735615762083
ACADVL	-0.2085375768155464
ACAP1	-0.6611018031514044
ACD	-0.24551520368119376
ACHE	-1.4473957807044735
ACIN1	-0.8930878596523693
ACP1	0.5633815044147198
ACSS1	-1.4932026746432825
ACSS2	-0.3709373977196855
ACTB	-0.07127194861654396
ACTL6A	1.188108597055641
ACTN1	1.0368482242337205
ACTR2 (dimer) (complex)	1.2258559056505287
ACh/CHRNA1 (complex)	2.1015468236274426
ACh/Synaptotagmin 1 (complex)	-6.546191620020169
ADA	1.4423775024276797
ADAM 10 metalloprotease (Zn cofactor) (complex)	-0.3798988309586319
ADAM10	-0.7362099280431231
ADAM12	2.3295925522046907
